exchange,raw_id,security_code,security_abbr,bond_name,title,publish_date,issue_result_date,issue_date_source,amount_billion,amount_source,bulletin_type_code,bulletin_type_name,url,parse_note,trace_result_url,trace_result_title,trace_result_publish_date
SSE,2025022600242468ROPACOMPANY_BOND,242468,25皖通V2,安徽皖通高速公路股份有限公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）募集说明书,安徽皖通高速公路股份有限公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）募集说明书,2025-02-26,2025-02-26,publish_date_fallback,20.0,scale,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-02-26/242468_20250226_ROPA.pdf,,,,
SSE,2025022600242468Z542COMPANY_BOND,242468,25皖通V2,安徽皖通高速公路股份有限公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）发行公告,安徽皖通高速公路股份有限公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）发行公告,2025-02-26,2025-02-26,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-02-26/242468_20250226_Z542.pdf,,,,
SSE,2025042200242884WPI9COMPANY_BOND,242884,25陕旅V1,陕西旅游集团有限公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）募集说明书,陕西旅游集团有限公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）募集说明书,2025-04-22,2025-04-22,publish_date_fallback,3.5,scale,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-22/242884_20250422_WPI9.pdf,,,,
SSE,2024110700241506MFE5COMPANY_BOND,241506,24桂垦01,广西农垦集团有限责任公司2024年面向专业投资者公开发行公司债券（第一期）（用于乡村振兴领域）更名公告,广西农垦集团有限责任公司2024年面向专业投资者公开发行公司债券（第一期）（用于乡村振兴领域）更名公告,2024-11-07,2024-11-07,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-11-07/241506_20241107_MFE5.pdf,,,,
SSE,202502130024240283VICOMPANY_BOND,242402,山交KV01,山西交通控股集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）发行公告,山西交通控股集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）发行公告,2025-02-13,2025-02-13,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-02-13/242402_20250213_83VI.pdf,,,,
SSE,2025021300242402VBAGCOMPANY_BOND,242402,山交KV01,山西交通控股集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）募集说明书,山西交通控股集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）募集说明书,2025-02-13,2025-02-13,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-02-13/242402_20250213_VBAG.pdf,,,,
SSE,2024111900241977LEURCOMPANY_BOND,241977,24苏交V3,苏州交通投资集团有限责任公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）发行公告,苏州交通投资集团有限责任公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）发行公告,2024-11-19,2024-11-19,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-11-19/241977_20241119_LEUR.pdf,,,,
SSE,2024110700241506LGVDCOMPANY_BOND,241506,24桂垦01,广西农垦集团有限责任公司2024年面向专业投资者公开发行公司债券（第一期）（用于乡村振兴领域）发行公告,广西农垦集团有限责任公司2024年面向专业投资者公开发行公司债券（第一期）（用于乡村振兴领域）发行公告,2024-11-07,2024-11-07,publish_date_fallback,4.9,scale,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-11-07/241506_20241107_LGVD.pdf,,,,
SSE,2024111900241977S5Z4COMPANY_BOND,241977,24苏交V3,苏州交通投资集团有限责任公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）募集说明书,苏州交通投资集团有限责任公司2024年面向专业投资者公开发行乡村振兴公司债券（第一期）募集说明书,2024-11-19,2024-11-19,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-11-19/241977_20241119_S5Z4.pdf,,,,
SSE,202411070024150685IICOMPANY_BOND,241506,24桂垦01,广西农垦集团有限责任公司2024年面向专业投资者公开发行公司债券（第一期）（用于乡村振兴领域）募集说明书摘要,广西农垦集团有限责任公司2024年面向专业投资者公开发行公司债券（第一期）（用于乡村振兴领域）募集说明书摘要,2024-11-07,2024-11-07,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-11-07/241506_20241107_85II.pdf,,,,
SSE,2024110100241885F4M9COMPANY_BOND,241885,河钢KV01,河钢集团有限公司2024年面向专业投资者公开发行科技创新乡村振兴公司债券（支持革命老区）（第一期）发行公告,河钢集团有限公司2024年面向专业投资者公开发行科技创新乡村振兴公司债券（支持革命老区）（第一期）发行公告,2024-11-01,2024-11-01,publish_date_fallback,15.0,scale,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-11-01/241885_20241101_F4M9.pdf,,,,
SSE,2024110700241506YK6GCOMPANY_BOND,241506,24桂垦01,广西农垦集团有限责任公司2024年面向专业投资者公开发行公司债券（第一期）（用于乡村振兴领域）募集说明书,广西农垦集团有限责任公司2024年面向专业投资者公开发行公司债券（第一期）（用于乡村振兴领域）募集说明书,2024-11-07,2024-11-07,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-11-07/241506_20241107_YK6G.pdf,,,,
SSE,2024110100241885MRKPCOMPANY_BOND,241885,河钢KV01,河钢集团有限公司2024年面向专业投资者公开发行科技创新乡村振兴公司债券（支持革命老区）（第一期）信用评级报告,河钢集团有限公司2024年面向专业投资者公开发行科技创新乡村振兴公司债券（支持革命老区）（第一期）信用评级报告,2024-11-01,2024-11-01,publish_date_fallback,15.0,scale,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-11-01/241885_20241101_MRKP.pdf,,,,
SSE,2024110100241885SPQFCOMPANY_BOND,241885,河钢KV01,河钢集团有限公司2024年面向专业投资者公开发行科技创新乡村振兴公司债券（支持革命老区）（第一期）募集说明书摘要,河钢集团有限公司2024年面向专业投资者公开发行科技创新乡村振兴公司债券（支持革命老区）（第一期）募集说明书摘要,2024-11-01,2024-11-01,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-11-01/241885_20241101_SPQF.pdf,,,,
SSE,2024110100241885ZSAFCOMPANY_BOND,241885,河钢KV01,河钢集团有限公司2024年面向专业投资者公开发行科技创新乡村振兴公司债券（支持革命老区）（第一期）募集说明书,河钢集团有限公司2024年面向专业投资者公开发行科技创新乡村振兴公司债券（支持革命老区）（第一期）募集说明书,2024-11-01,2024-11-01,publish_date_fallback,,,1101,发行公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2024-11-01/241885_20241101_ZSAF.pdf,,,,
