exchange,security_code,security_abbr,bond_name,issue_result_date,issue_date_source,amount_billion,amount_source,publish_date,title,url,parse_note,trace_result_url,trace_result_title,trace_result_publish_date,issue_month
SZSE,,江苏2520,关于2025年江苏省乡村振兴专项债券（一期）——2025年江苏省政府专项债券（四期）上市交易的通知,2025-04-01,publish_date_fallback,18.13,total,2025-04-01,关于2025年江苏省乡村振兴专项债券（一期）——2025年江苏省政府专项债券（四期）上市交易的通知,http://www.szse.cn/disclosure/notice/bond/t20250401_612738.html,,,,,2025-04
SZSE,524247,25川高KV1,关于四川高速公路建设开发集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）上市有关事项的通知,2025-04-22,szse_result_announcement_publish_date,14.2,actual,2025-04-25,关于四川高速公路建设开发集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）上市有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20250425_613238.html,,http://disc.static.szse.cn/download/disc/disk03/finalpage/2025-04-22/6a4328a3-14bf-4ef9-96a1-99970b390277.PDF,25川高KV1：四川高速公路建设开发集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）发行结果公告,2025-04-22,2025-04
SSE,242884,25陕旅V1,陕西旅游集团有限公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）发行结果公告,2025-04-25,publish_date_fallback,6.0,scale,2025-04-25,陕西旅游集团有限公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-25/242884_20250425_RSM2.pdf,,,,,2025-04
SSE,242872,苏垦KV01,江苏省农垦集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）发行结果公告,2025-05-07,sse_result_sentence,10.0,actual,2025-05-07,江苏省农垦集团有限公司2025年面向专业投资者公开发行科技创新乡村振兴公司债券（第一期）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-05-07/242872_20250507_0SAI.pdf,,,,,2025-05
SSE,243057,GC核融V1,中核融资租赁有限公司2025年面向专业投资者公开发行绿色碳中和乡村振兴公司债券（第一期）（可持续挂钩）发行结果公告,2025-05-27,sse_result_sentence,7.0,actual,2025-05-27,中核融资租赁有限公司2025年面向专业投资者公开发行绿色碳中和乡村振兴公司债券（第一期）（可持续挂钩）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-05-27/243057_20250527_PQCM.pdf,,,,,2025-05
SSE,243058,GC核融V2,中核融资租赁有限公司2025年面向专业投资者公开发行绿色碳中和乡村振兴公司债券（第一期）（可持续挂钩）发行结果公告,2025-05-27,sse_result_sentence,7.0,actual,2025-05-27,中核融资租赁有限公司2025年面向专业投资者公开发行绿色碳中和乡村振兴公司债券（第一期）（可持续挂钩）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-05-27/243058_20250527_HXVL.pdf,,,,,2025-05
SSE,243066,25苏交V1,苏州交通投资集团有限责任公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）（长三角一体化）发行结果公告,2025-06-09,sse_result_sentence,10.0,actual,2025-06-09,苏州交通投资集团有限责任公司2025年面向专业投资者公开发行乡村振兴公司债券（第一期）（长三角一体化）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-06-09/243066_20250609_F0Q8.pdf,,,,,2025-06
SSE,243135,25渝高V4,重庆高速公路集团有限公司2025年面向专业投资者公开发行乡村振兴公司债券(成渝双城经济圈)（第三期）发行结果公告,2025-06-12,sse_result_sentence,5.0,actual,2025-06-12,重庆高速公路集团有限公司2025年面向专业投资者公开发行乡村振兴公司债券(成渝双城经济圈)（第三期）发行结果公告,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-06-12/243135_20250612_O7M1.pdf,,,,,2025-06
SZSE,134293,25番水GV01,关于为广州市番禺污水治理有限公司2025年面向专业投资者非公开发行绿色乡村振兴公司债券（第一期）提供转让服务有关事项的通知,2025-06-17,szse_listing_start_sentence,3.0,total,2025-06-16,关于为广州市番禺污水治理有限公司2025年面向专业投资者非公开发行绿色乡村振兴公司债券（第一期）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20250616_614187.html,,,,,2025-06
SZSE,134315,25兰资V1,关于为河南兴兰资产运营有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,2025-06-25,szse_listing_start_sentence,8.0,total,2025-06-24,关于为河南兴兰资产运营有限公司2025年面向专业投资者非公开发行乡村振兴公司债券（第一期）提供转让服务有关事项的通知,http://www.szse.cn/disclosure/notice/bond/t20250624_614506.html,,,,,2025-06
